INCIDENT_ID,DATA_YEAR,ORI,PUB_AGENCY_NAME,PUB_AGENCY_UNIT,AGENCY_TYPE_NAME,STATE_ABBR,STATE_NAME,DIVISION_NAME,REGION_NAME,POPULATION_GROUP_CODE,POPULATION_GROUP_DESC,INCIDENT_DATE,ADULT_VICTIM_COUNT,JUVENILE_VICTIM_COUNT,TOTAL_OFFENDER_COUNT,ADULT_OFFENDER_COUNT,JUVENILE_OFFENDER_COUNT,OFFENDER_RACE,OFFENDER_ETHNICITY,VICTIM_COUNT,OFFENSE_NAME,TOTAL_INDIVIDUAL_VICTIMS,LOCATION_NAME,BIAS_DESC,VICTIM_TYPES,MULTIPLE_OFFENSE,MULTIPLE_BIAS
726,1991,MA0130100,Boston,,City,MA,Massachusetts,New England,Northeast,1B,"Cities from 500,000 thru 999,999",24-Aug-91,,,1,,,White,,1,Destruction/Damage/Vandalism of Property,0,Other/Unknown,Anti-Asian,Other,S,S
730,1991,MA0130100,Boston,,City,MA,Massachusetts,New England,Northeast,1B,"Cities from 500,000 thru 999,999",3-Sep-91,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0,Other/Unknown,Anti-Asian,Other,S,S
731,1991,MA0130100,Boston,,City,MA,Massachusetts,New England,Northeast,1B,"Cities from 500,000 thru 999,999",30-Aug-91,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0,Other/Unknown,Anti-Asian,Other,S,S
734,1991,MA0130100,Boston,,City,MA,Massachusetts,New England,Northeast,1B,"Cities from 500,000 thru 999,999",19-Sep-91,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0,Other/Unknown,Anti-Asian,Other,S,S
737,1991,MA0130100,Boston,,City,MA,Massachusetts,New England,Northeast,1B,"Cities from 500,000 thru 999,999",9-Dec-91,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0,Other/Unknown,Anti-Asian,Other,S,S
739,1991,MA0130100,Boston,,City,MA,Massachusetts,New England,Northeast,1B,"Cities from 500,000 thru 999,999",15-Mar-91,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0,Other/Unknown,Anti-Asian,Other,S,S
741,1991,MA0130100,Boston,,City,MA,Massachusetts,New England,Northeast,1B,"Cities from 500,000 thru 999,999",27-Apr-91,,,3,,,White,,1,Destruction/Damage/Vandalism of Property,0,Other/Unknown,Anti-Asian,Other,S,S
747,1991,MA0130100,Boston,,City,MA,Massachusetts,New England,Northeast,1B,"Cities from 500,000 thru 999,999",14-Jul-91,,,1,,,White,,1,Simple Assault,1,Other/Unknown,Anti-Asian,Individual,S,S
3045,1991,MA0130100,Boston,,City,MA,Massachusetts,New England,Northeast,1B,"Cities from 500,000 thru 999,999",28-Apr-91,,,0,,,Unknown,,2,Destruction/Damage/Vandalism of Property;Robbery,0,Other/Unknown,Anti-Asian,Other,M,S
3046,1991,MA0130100,Boston,,City,MA,Massachusetts,New England,Northeast,1B,"Cities from 500,000 thru 999,999",2-May-91,,,0,,,Unknown,,1,Not Specified,0,Other/Unknown,Anti-Asian,Other,S,S
3047,1991,MA0130100,Boston,,City,MA,Massachusetts,New England,Northeast,1B,"Cities from 500,000 thru 999,999",4-Jun-91,,,1,,,White,,2,Intimidation;Robbery,1,Other/Unknown,Anti-Asian,Individual;Other,M,S
3054,1991,MA0130100,Boston,,City,MA,Massachusetts,New England,Northeast,1B,"Cities from 500,000 thru 999,999",15-Jun-91,,,1,,,White,,1,Robbery,1,Other/Unknown,Anti-Asian,Individual,S,S
3056,1991,MA0130100,Boston,,City,MA,Massachusetts,New England,Northeast,1B,"Cities from 500,000 thru 999,999",15-May-91,,,3,,,Black or African American,,1,Intimidation,1,Other/Unknown,Anti-Asian,Individual,S,S
3252,1991,MA0130100,Boston,,City,MA,Massachusetts,New England,Northeast,1B,"Cities from 500,000 thru 999,999",23-Jul-91,,,1,,,Black or African American,,1,Aggravated Assault,1,Other/Unknown,Anti-Asian,Individual,S,S
3261,1991,MA0130100,Boston,,City,MA,Massachusetts,New England,Northeast,1B,"Cities from 500,000 thru 999,999",9-Oct-91,,,2,,,White,,1,Aggravated Assault,1,Other/Unknown,Anti-Asian,Individual,S,S
3268,1991,MA0130100,Boston,,City,MA,Massachusetts,New England,Northeast,1B,"Cities from 500,000 thru 999,999",5-Dec-91,,,3,,,White,,1,Aggravated Assault,1,Other/Unknown,Anti-Asian,Individual,S,S
3271,1991,MA0130100,Boston,,City,MA,Massachusetts,New England,Northeast,1B,"Cities from 500,000 thru 999,999",27-Dec-91,,,1,,,White,,1,Simple Assault,1,Other/Unknown,Anti-Asian,Individual,S,S
3281,1991,MA0130100,Boston,,City,MA,Massachusetts,New England,Northeast,1B,"Cities from 500,000 thru 999,999",16-Aug-91,,,3,,,White,,3,Simple Assault,3,Other/Unknown,Anti-Asian,Individual,S,S
3284,1991,MA0130100,Boston,,City,MA,Massachusetts,New England,Northeast,1B,"Cities from 500,000 thru 999,999",18-Mar-91,,,3,,,Black or African American,,2,Aggravated Assault,2,Other/Unknown,Anti-Asian,Individual,S,S
3285,1991,MA0130100,Boston,,City,MA,Massachusetts,New England,Northeast,1B,"Cities from 500,000 thru 999,999",8-Apr-91,,,2,,,White,,2,Intimidation;Robbery,1,Other/Unknown,Anti-Asian,Individual,M,S
3286,1991,MA0130100,Boston,,City,MA,Massachusetts,New England,Northeast,1B,"Cities from 500,000 thru 999,999",19-Apr-91,,,0,,,Unknown,,2,Intimidation;Robbery,1,Other/Unknown,Anti-Asian,Individual,M,S
468,1991,MD0030100,Baltimore County Police Department,,County,MD,Maryland,South Atlantic,South,9A,"MSA counties 100,000 or over",20-Apr-91,,,0,,,Unknown,,1,Intimidation,1,Residence/Home,Anti-Asian,Individual,S,S
490,1991,MD0030100,Baltimore County Police Department,,County,MD,Maryland,South Atlantic,South,9A,"MSA counties 100,000 or over",13-Sep-91,,,1,,,Black or African American,,1,Intimidation,1,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,Individual,S,S
500,1991,MD0030100,Baltimore County Police Department,,County,MD,Maryland,South Atlantic,South,9A,"MSA counties 100,000 or over",30-Oct-91,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,Individual,S,S
506,1991,MD0030100,Baltimore County Police Department,,County,MD,Maryland,South Atlantic,South,9A,"MSA counties 100,000 or over",17-Dec-91,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,1,Highway/Road/Alley/Street/Sidewalk,Anti-Asian,Individual,S,S
2853,1991,MD0030100,Baltimore County Police Department,,County,MD,Maryland,South Atlantic,South,9A,"MSA counties 100,000 or over",23-Jun-91,,,1,,,White,,1,Aggravated Assault,1,Residence/Home,Anti-Asian,Individual,S,S
2854,1991,MD0030100,Baltimore County Police Department,,County,MD,Maryland,South Atlantic,South,9A,"MSA counties 100,000 or over",5-Jul-91,,,1,,,White,,1,Intimidation,1,Convenience Store,Anti-Asian,Individual,S,S
3143,1991,MD0030100,Baltimore County Police Department,,County,MD,Maryland,South Atlantic,South,9A,"MSA counties 100,000 or over",28-Sep-91,,,2,,,Black or African American,,1,Simple Assault,1,Parking/Drop Lot/Garage,Anti-Asian,Individual,S,S
3151,1991,MD0090000,Charles,,County,MD,Maryland,South Atlantic,South,9B,"MSA counties from 25,000 thru 99,999",2-Feb-91,,,1,,,White,,1,Destruction/Damage/Vandalism of Property,0,Service/Gas Station,Anti-Asian,Business,S,S
3161,1991,MD0130000,Harford,,County,MD,Maryland,South Atlantic,South,9A,"MSA counties 100,000 or over",21-Sep-91,,,1,,,Black or African American,,1,Aggravated Assault,1,Residence/Home,Anti-Asian,Individual,S,S
3176,1991,MD0160300,Maryland-National Capital Park Police:,Montgomery County,Other,MD,Maryland,South Atlantic,South,7,"Cities under 2,500",9-Sep-91,,,0,,,Unknown,,1,Destruction/Damage/Vandalism of Property,0,Field/Woods,Anti-Asian,Society/Public,S,S
562,1991,MD0160400,Montgomery County Police Department,,County,MD,Maryland,South Atlantic,South,9A,"MSA counties 100,000 or over",2-May-91,,,0,,,Unknown,,1,Intimidation,1,Residence/Home,Anti-Asian,Individual,S,S
